Offset 0002C5: arquivo1 = 7E | arquivo2 = 78
Offset 0002C9: arquivo1 = 4B | arquivo2 = 48
Offset 0002CA: arquivo1 = BC | arquivo2 = BB
Offset 0002CC: arquivo1 = FA | arquivo2 = F9
Offset 0002CD: arquivo1 = FB | arquivo2 = FC
Offset 0002D1: arquivo1 = B4 | arquivo2 = B7
Offset 0002D2: arquivo1 = 59 | arquivo2 = 51
Offset 0002D4: arquivo1 = 2B | arquivo2 = 28
Offset 0002D5: arquivo1 = 10 | arquivo2 = 18
Offset 0002D9: arquivo1 = 36 | arquivo2 = 35
Offset 0002DA: arquivo1 = 02 | arquivo2 = 0B
Offset 0002DC: arquivo1 = CE | arquivo2 = CD
Offset 0002DD: arquivo1 = 9B | arquivo2 = 92
Offset 0002E1: arquivo1 = 6E | arquivo2 = 6D
Offset 0002E2: arquivo1 = B0 | arquivo2 = C1
Offset 0002E4: arquivo1 = 05 | arquivo2 = 06
Offset 0002E5: arquivo1 = 60 | arquivo2 = 11
Offset 0002E9: arquivo1 = 8F | arquivo2 = 8C
Offset 0002EA: arquivo1 = 2D | arquivo2 = 5F
Offset 0002EC: arquivo1 = 75 | arquivo2 = 76
Offset 0002ED: arquivo1 = B0 | arquivo2 = C2
Offset 0002F1: arquivo1 = D5 | arquivo2 = D6
Offset 0002F2: arquivo1 = 6D | arquivo2 = 1E
Offset 0002F4: arquivo1 = 5A | arquivo2 = 59
Offset 0002F5: arquivo1 = 2F | arquivo2 = 5C
Offset 0002F9: arquivo1 = 6F | arquivo2 = 6C
Offset 0002FA: arquivo1 = 1A | arquivo2 = 6E
Offset 0002FC: arquivo1 = 9A | arquivo2 = 99
Offset 0002FD: arquivo1 = 55 | arquivo2 = 21
Offset 000301: arquivo1 = B5 | arquivo2 = B6
Offset 000302: arquivo1 = D9 | arquivo2 = AC
Offset 000304: arquivo1 = DF | arquivo2 = DC
Offset 000305: arquivo1 = B6 | arquivo2 = C3
Offset 000309: arquivo1 = 92 | arquivo2 = 91
Offset 00030A: arquivo1 = 07 | arquivo2 = 71
Offset 00030C: arquivo1 = 2F | arquivo2 = 2C
Offset 00030D: arquivo1 = 71 | arquivo2 = 07
Offset 000311: arquivo1 = 0E | arquivo2 = 0A
Offset 000314: arquivo1 = B4 | arquivo2 = B0
Offset 000319: arquivo1 = 1D | arquivo2 = 19
Offset 00031A: arquivo1 = 33 | arquivo2 = 32
Offset 00031C: arquivo1 = 9E | arquivo2 = 9A
Offset 00031D: arquivo1 = 9F | arquivo2 = 9E
Offset 000321: arquivo1 = 7E | arquivo2 = 7A
Offset 000322: arquivo1 = D5 | arquivo2 = D7
Offset 000324: arquivo1 = 20 | arquivo2 = 24
Offset 000325: arquivo1 = DE | arquivo2 = DC
Offset 000326: arquivo1 = 88 | arquivo2 = 89
Offset 000329: arquivo1 = 5A | arquivo2 = 5F
Offset 00032A: arquivo1 = 73 | arquivo2 = 70
Offset 00032C: arquivo1 = 1A | arquivo2 = 1E
Offset 00032D: arquivo1 = B8 | arquivo2 = BE
Offset 000330: arquivo1 = 05 | arquivo2 = 00
Offset 000331: arquivo1 = 82 | arquivo2 = 86
Offset 000332: arquivo1 = B9 | arquivo2 = BD
Offset 000334: arquivo1 = 09 | arquivo2 = 0D
Offset 000335: arquivo1 = B9 | arquivo2 = B5
Offset 000338: arquivo1 = 2C | arquivo2 = 24
Offset 000339: arquivo1 = E1 | arquivo2 = E5
Offset 00033A: arquivo1 = C8 | arquivo2 = CD
Offset 00033C: arquivo1 = F1 | arquivo2 = F5
Offset 00033D: arquivo1 = D9 | arquivo2 = DC
Offset 00033E: arquivo1 = 59 | arquivo2 = 5A
Offset 000341: arquivo1 = D5 | arquivo2 = D2
Offset 000342: arquivo1 = 2C | arquivo2 = 2A
Offset 000344: arquivo1 = A7 | arquivo2 = A3
Offset 000345: arquivo1 = 7E | arquivo2 = 78
Offset 000346: arquivo1 = 74 | arquivo2 = 76
Offset 000349: arquivo1 = 49 | arquivo2 = 4F
Offset 00034A: arquivo1 = BC | arquivo2 = BB
Offset 00034C: arquivo1 = FD | arquivo2 = F9
Offset 00034D: arquivo1 = FB | arquivo2 = FC
Offset 000351: arquivo1 = B4 | arquivo2 = B0
